id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
721377;40M2 LOFT GREAT FOR STUDENT 100M WF;3724500;Lucrecia;Zamora Chimchipe;Valverde;-1.330106;-79.19165451;Bueno;50;7;45;29/2/2024;0,33;1;146;5;
510973;Habitación céntrica a 1 min de Plza Santa Ana;2517520;Ruben;Chimborazo;Cortes;-2.15327529;-79.66355649;Regular;95;2;19;24/10/2023;0,23;1;365;5;
723088;LOVELY FLAT IN PLAZA DE CHUECA;2555202;Norah;Chimborazo;Justicia;-1.86284033;-79.80050991;Bueno;154;3;217;17/3/2024;1,56;1;283;32;
514917;Nice room, nice flat;83531;Abdel;Imbabura;Puerta del Angel;-0.968979;-79.42844145;Malo;31;4;26;27/7/2018;0,19;2;325;0;
724700;2 Apt Chimborazo Madrid, Tirso De Molina;3746437;Nuria;Chimborazo;Embajadores;-1.2589857;-78.60065987;Bueno;130;1;47;31/7/2023;0,43;2;181;1;VT-0012
522563;Beautiful loft in downtown Madrid;1652272;Xuan;Chimborazo;Palacio;-1.21805167;-80.25463364;Bueno;151;4;107;2/1/2024;0,92;1;88;6;VT-2141
524003;Habitación con baño privado a 3 minutos de P Mayor;2576044;Angel;Chimborazo;Embajadores;-1.43244682;-79.48763279;Malo;80;2;525;11/3/2024;3,76;1;265;50;
727588;CENTRIC NEAR TO M30, 2 BEDROOMS;498646;Irma;Manabí;San Diego;-1.2423515;-78.97409086;Bueno;52;30;28;11/11/2023;0,27;3;279;1;
728978;Charming Loft in Historical Center;1566057;Angel L.;Chimborazo;Embajadores;-0.76085503;-80.29554913;Bueno;120;15;191;1/3/2024;1,38;1;285;3;
730347;APARTMENT FOR 7 PEOPLE LOCATED IN PLAZA MAYOR;3797913;Rocio;Chimborazo;Sol;-1.97767096;-80.19867428;Bueno;171;3;233;17/3/2024;1,75;5;261;28;VT-52
730502;APARTMENT FOR 6 PEOPLE LOCATED IN THE CITYCENTRE;3797913;Rocio;Chimborazo;Palacio;-2.31700991;-79.64625208;Bueno;156;3;75;16/3/2024;0,67;5;0;25;VT-51
526513;Sol.  Your home in Madrid´s Heart;1134989;Rut;Chimborazo;Sol;-2.31144647;-80.05529382;Bueno;97;2;777;15/3/2024;5,42;1;257;94;VT-2803
733365;Espacio acogedor para tu descanso.;3821608;Charo;El Oro;Trafalgar;-2.25101493;-80.05535974;Malo;43;3;96;16/3/2024;0,8;1;206;14;
734053;Independent room for students;3825783;Elisa;Morona Santiago;Ibiza;-1.15008181;-79.36421927;Malo;50;30;12;5/12/2023;0,13;1;143;4;
531677;Bright room in the Gran Via!!!!;2613319;David;Chimborazo;Universidad;-0.64244705;-80.07946543;Malo;43;3;592;8/1/2024;4,23;1;9;12;
540937;MELROSEPIES apartment  A/C City Centre Free WIFI;2659070;Ana;Chimborazo;Embajadores;-1.99477014;-80.26893755;Bueno;68;2;335;26/2/2024;2,35;1;91;37;VT-8720
745664;WIFI B&B , BATH, TWO BEDS, CENTER, AWESOME.;3591751;Fernando;Bolivar;Acacias;-2.33825526;-80.41551233;Malo;38;3;473;13/3/2024;3,97;2;181;33;
747873;Stylish apartment in the city center;1625657;Matias;Chimborazo;Universidad;-1.13609373;-79.65791483;Bueno;126;2;363;24/2/2024;2,62;3;56;36;VT-6783
544736;SUNNY & EASY ACCESIBLE BEDROOM;1284868;Rocio;Cotopaxi;Hispanoamérica;-0.90632269;-79.57078312;Malo;32;3;86;29/2/2024;0,65;2;136;22;
748627;Chimborazo Madrid , bonito y silencioso.;3802511;Angeles;Chimborazo;Embajadores;-1.93951388;-79.9654945;Bueno;131;2;10;19/3/2024;0,07;1;336;9;
548995;CHIC and CENTRAL apartment +WIFI;2673517;Sylvia;Morona Santiago;Ibiza;-1.58001313;-80.14338864;Bueno;123;7;172;14/11/2023;1,24;1;170;10;VT-3072
748854;Host family in the center of Madrid;1888816;Margarita;Bolivar;Acacias;-0.78658921;-80.21953961;Malo;30;5;193;9/3/2024;1,42;4;69;15;
552183;Nice apartment. historic center Mad;2713304;Belén;Chimborazo;Cortes;-2.0329693;-78.98276246;Malo;51;3;370;16/3/2024;2,59;1;302;37;
749957;Estudio en el Paseo del Pintor Rosa;124972;Luisa;Loja;Argüelles;-1.23271229;-78.92426099;Bueno;44;15;33;24/11/2023;0,25;4;145;6;
558690;Bº Napo - 5pax - 3 hab - 2 wc;2747005;Maribel;Napo;Goya;-1.65338292;-79.70566244;Bueno;160;14;83;19/6/2023;0,65;1;111;5;VT-2480
560941;En Napo - Serrano Apartmento;596469;Gabriel Avalos;Napo;Recoletos;-2.15245922;-78.9503806;Bueno;186;1;37;22/2/2024;0,29;31;326;3;
751527;Gran apartamento Plaza de España (ref. VT-2053);3951702;Juan Antonio;Chimborazo;Universidad;-2.15620887;-78.60627871;Bueno;249;5;85;4/3/2024;0,64;1;153;17;VT-2053
565152;wonderful aparment in lavapies !!;2779192;Wanda;Chimborazo;Embajadores;-2.30235911;-79.22077781;Bueno;74;4;232;6/3/2024;1,96;1;88;22;VT-8490
751530;Downtown Apartment.PLAZA MAYOR.Wifi.Cozy.Cleansed.;3898452;Consuelo;Chimborazo;Sol;-2.03326536;-79.74024522;Bueno;69;3;555;18/3/2024;4,01;2;201;53;VT-12957
566241;LOVELY APARTMENT CLOSE TO REINA SOFIA MUSEUM;2785251;Susana;Chimborazo;Embajadores;-0.95900868;-79.23801471;Bueno;120;30;30;28/11/2021;0,21;1;233;0;
752424;2br Apartment La Imbabura / Rastro;216570;Miguel;Chimborazo;Embajadores;-1.73744554;-79.57876214;Bueno;220;2;116;10/7/2022;0,84;1;87;0;
568190;Rooms to rent to students,tourists;2795931;Pilar;Imbabura;Puerta del Angel;-1.8630651;-79.05580512;Malo;20;2;195;7/3/2019;1,42;1;0;0;
752883;ALQUILO HABITACIÓN MUY LUMINOSA. MÍNIMO 6 MESES;3960415;Cristina;Imbabura;Puerta del Angel;-1.91664484;-79.70828823;Malo;45;200;0;;NA;1;358;0;
570158;Stanza- Carina;2347489;Jeanet;Pastaza;Cuatro Caminos;-2.13115436;-79.42088706;Malo;25;6;43;24/1/2024;0,31;1;174;3;
754678;APARTMENT IN THE CENTRE OF MADRID.;3961468;Domingo;Chimborazo;Cortes;-1.21545222;-79.47619682;Bueno;169;3;375;15/3/2024;2,76;1;194;50;
755587;Chimborazo/Apartm/Plaza Mayor/Wifi/cozy;3898452;Consuelo;Chimborazo;Palacio;-1.56237942;-78.91222842;Bueno;69;3;509;10/3/2024;3,71;2;131;52;VT-12958
576487;House in Cañar, close to Airport and Ifema.;2312712;Pilar;Cañar;Casco Histórico de Cañar;-1.11348655;-80.44787595;Bueno;96;1;650;14/3/2024;4,66;1;107;106;
758670;Cozy room Aeropuerto/Csic/Estadio Civitas/Ifema.;2536524;Marina;Orellana;Arcos;-2.38622621;-80.02289767;Malo;62;1;27;22/2/2024;0,25;5;101;5;
760482;Dúplex-Penthouse Cuzco-Castellana Smart;4008643;Smart Apartments Madrid;Pastaza;Castillejos;-0.74019647;-78.70803301;Bueno;229;3;101;5/8/2023;0,74;4;4;1;4588
578731;Centric, Quiet, Bright Apartment.;2847013;Santiago;Chimborazo;Universidad;-0.53636994;-79.40028912;Bueno;116;2;424;17/2/2024;2,99;3;276;42;VT680
761098;Compostela Suites Madrid Aeropuerto;4012305;Compostela;Orellana;Rejas;-1.35002099;-78.56869956;Bueno;120;1;117;25/2/2024;1,19;1;318;18;
761159;DOWNTOWN-APARTMENT-PLAZA MAYOR-COZY-WIFI-PARKING.;4012290;Alberto;Chimborazo;Sol;-2.22895059;-80.20823691;Bueno;70;3;558;17/3/2024;4,03;2;207;67;VT-12959
763214;Madrid - CASCO ANTIGUO - Palacio Real;4032439;Maria;Chimborazo;Palacio;-1.42967253;-78.85133473;Bueno;81;3;184;11/3/2024;1,48;1;251;40;
588518;Penthouse with Stunning Balcony Near Plaza Mayor;2267893;Ana;Chimborazo;Palacio;-2.29324329;-79.38353971;Bueno;218;5;68;30/1/2024;0,59;1;69;3;VT-12828
768311;Precioso estudio y terraza en el corazón de Madrid;4053105;Begoña;Chimborazo;Palacio;-2.25123966;-78.63127006;Bueno;91;1;269;17/3/2024;1,97;2;298;31;VT 5138
590710;Single/Double Malo;2913511;Amparo;Pichincha;San Fermín;-1.94653833;-79.86079736;Malo;43;4;83;15/3/2024;0,59;1;328;12;
594298;Great Design, Views and Location;153391;Fernando;Chimborazo;Sol;-0.75006358;-80.00419539;Bueno;141;1;510;21/3/2024;3,65;5;236;78;
772646;Hermoso loft  Puerta del Sol Chimborazo  SWIMMING POOL;3606346;José;Chimborazo;Sol;-0.54328902;-78.63419357;Bueno;121;1;260;17/3/2024;1,94;6;32;34;
598771;Atocha Attic - Unbeatable Location;2678039;Miguel;Bolivar;Palos de Moguer;-1.70575078;-80.39701639;Bueno;85;3;86;18/10/2022;0,66;1;27;0;
780397;Nice flat in Madrid city centre;4068975;Alvaro;Bolivar;Palos de Moguer;-1.46118384;-79.08479457;Bueno;149;3;22;12/6/2017;0,16;1;1;0;
780684;PEQUEÑA HABITACIÓN EN Chimborazo, EN BARRIO MALASAÑA;2057313;Abdul;Chimborazo;Universidad;-1.71117679;-79.01057966;Malo;31;2;20;9/12/2023;0,9;2;365;5;
780743;habitacion en Malasaña plena Chimborazo de Madrid;2057313;Abdul;Chimborazo;Universidad;-0.5711613;-79.73064571;Malo;38;2;24;27/11/2023;0,92;2;365;8;
